x,y,feature,timestamp
25,26,7,15082589
6,29,14,15084660
6,29,6,15084670
23,51,5,15085152
30,29,0,15085633
23,56,2,15087262
31,15,9,15088969
32,16,9,15092368
24,25,7,15093667
20,22,4,15120827
5,26,2,15121668
4,27,2,15122643
19,53,7,15149179
7,21,1,15172166
22,53,9,15179030
22,53,1,15179057
30,8,6,15182626
19,50,6,15183914
31,7,6,15184550
22,53,9,15184841
4,22,13,15186223
3,23,1,15186253
29,9,5,15187827
6,18,6,15212792
2,21,14,15212957
20,5,5,15213651
36,23,14,15217623
4,61,14,15279386
49,1,14,15311404
15,16,9,15312640
19,50,9,15332459
23,20,0,15359822
23,20,10,15436172
26,22,10,15464462
22,50,10,15468581
22,50,2,15468582
54,2,14,15498541
20,15,9,15519091
23,18,10,15526308
3,52,5,15551097
35,14,10,15556253
34,23,6,15557599
34,11,13,15557865
34,23,9,15558314
34,23,1,15558323
3,53,12,15559635
2,53,2,15562030
23,16,9,15562617
17,24,10,15571676
28,20,9,15579767
20,14,10,15581178
29,21,9,15581316
27,19,9,15582151
16,23,10,15582641
20,47,9,15583551
15,22,10,15587611
23,15,9,15593334
56,2,14,15617099
55,1,14,15617739
56,1,5,15619209
17,45,10,15622350
22,13,9,15641354
57,1,13,15652098
36,24,10,15652278
36,23,6,15654536
20,11,10,15676950
57,1,6,15677020
18,20,8,15677388
3,13,5,15680005
2,14,1,15680048
60,4,13,15681047
57,2,14,15683984
59,2,13,15684390
10,6,11,15685758
2,14,2,15687024
4,14,2,15708568
16,12,10,15717780
32,20,9,15718941
4,18,6,15734699
3,19,2,15734711
23,43,13,15741829
24,42,5,15741847
61,4,14,15748710
61,4,6,15748719
61,3,13,15749553
18,55,10,15776650
18,15,2,15796102
19,14,2,15805836
20,55,0,15812050
24,46,2,15812449
28,5,6,15813095
25,46,10,15828532
4,45,10,15832090
19,57,14,15837293
21,56,8,15837725
21,9,9,15838459
22,8,1,15838469
25,46,1,15840303
20,56,11,15840353
21,55,3,15840356
20,12,10,15844308
11,24,9,15856808
11,24,1,15856810
23,11,8,15861161
22,58,3,15869434
22,57,0,15871339
43,25,9,15873398
2,35,13,15892263
2,35,11,15896720
4,37,0,15904669
28,11,9,15904901
8,47,14,15905965
6,36,5,15906179
4,38,2,15906180
23,55,3,15906367
46,7,6,15906497
6,38,14,15924612
6,38,6,15924618
15,27,1,15927033
7,37,6,15927746
30,10,6,15927886
12,30,9,15929057
16,27,10,15929127
6,39,10,15930021
6,39,2,15930023
5,40,1,15931002
16,26,1,15931122
5,38,10,15931451
4,41,2,15931896
4,41,5,15932037
1,42,10,15932297
26,14,3,15933299
7,38,2,15935392
7,39,14,15936468
39,6,11,15937083
11,30,10,15937402
7,38,1,15937767
14,31,14,15953147
8,40,6,15954685
15,30,13,15957133
14,31,9,15957137
7,39,3,15962566
7,41,14,15964666
6,40,6,15964683
14,32,9,15964985
14,32,10,15965276
14,32,2,15965283
7,40,0,15966757
9,40,5,15968905
8,41,1,15968913
9,40,14,15981626
8,43,1,15982321
15,33,10,15984802
10,41,14,15985300
27,17,8,15986581
7,42,9,15988745
9,40,6,15989311
8,42,8,15990816
44,20,14,15990837
8,44,2,15992460
20,28,2,15994851
16,33,14,15996541
16,33,1,15997140
28,13,9,15997752
26,18,11,15999253
26,20,11,16017450
11,45,8,16026539
11,44,6,16027687
11,43,5,16029466
10,44,6,16030710
11,47,6,16046636
12,46,5,16048787
27,22,8,16053390
47,27,14,16054163
10,48,14,16054283
10,48,9,16055966
10,48,1,16055986
49,30,14,16056349
7,58,6,16058815
49,29,14,16060745
48,29,4,16061604
18,36,1,16062195
48,22,2,16062594
2,20,1,16083062
42,5,5,16083129
17,43,12,16088409
1,21,14,16088583
48,25,13,16091170
48,26,8,16091177
14,48,1,16093376
15,46,1,16094295
14,48,2,16094414
40,7,6,16112552
49,26,0,16120460
41,4,14,16122623
42,3,6,16122646
42,1,13,16146742
48,25,8,16147120
49,25,1,16152614
48,24,9,16154968
21,55,2,16155785
49,25,3,16156176
41,2,5,16156716
5,23,13,16169950
6,22,5,16169952
48,25,2,16179100
48,24,6,16180481
40,4,12,16181072
49,25,0,16181438
2,24,6,16186044
39,4,6,16186888
3,26,10,16202952
19,48,10,16211853
19,48,2,16211881
47,49,6,16238583
46,49,9,16244627
47,48,1,16244652
49,23,9,16247813
48,48,6,16249123
8,16,4,16261671
48,59,9,16263061
5,28,1,16263914
47,60,2,16264815
1,11,5,16266157
45,49,10,16266250
44,48,2,16266251
49,58,14,16266948
49,58,6,16267052
48,61,10,16267340
49,57,13,16267357
4,29,2,16268191
4,29,1,16268456
48,22,10,16268849
48,22,2,16268850
48,59,2,16268884
47,59,9,16269624
47,20,2,16269670
48,58,13,16269879
50,59,5,16269998
45,46,14,16270200
6,28,8,16270533
48,60,10,16270798
48,60,2,16270811
9,18,5,16270937
50,58,5,16271301
48,60,8,16272253
49,59,0,16272257
47,21,9,16272373
49,56,14,16272449
48,57,1,16272460
50,56,13,16272469
47,49,1,16272476
47,18,14,16272604
50,58,13,16272719
50,59,6,16272817
48,19,13,16272943
47,18,5,16272945
50,56,14,16273002
34,6,6,16273348
49,46,13,16273656
50,58,14,16274198
34,5,15,16274774
1,12,5,16274904
35,2,4,16275255
34,5,7,16275427
49,59,2,16275838
51,56,5,16275864
50,57,1,16275870
51,55,13,16277202
49,55,5,16277204
2,13,13,16277701
46,49,2,16277938
51,57,13,16278265
48,47,2,16278557
46,48,2,16278974
48,57,9,16280004
50,59,9,16280063
48,58,10,16280465
47,59,2,16280469
53,21,5,16280715
48,17,13,16280890
6,17,14,16281224
48,48,10,16281550
48,48,2,16281556
49,59,3,16281663
46,45,5,16281740
45,46,1,16281746
34,6,4,16282109
34,5,4,16282250
48,57,10,16293095
49,58,2,16295100
50,57,9,16295118
50,57,2,16297479
49,57,10,16297483
8,22,14,16297605
51,58,8,16298793
51,56,2,16303677
6,32,8,16306572
7,31,8,16312909
4,27,14,16337677
54,56,14,16338290
2,19,0,16339977
47,46,10,16342608
45,47,11,16361696
53,56,14,16366137
2,41,14,16369676
56,57,6,16375098
3,43,5,16386729
7,42,2,16389045
54,57,2,16394162
6,44,1,16399425
58,56,5,16399980
56,58,8,16401181
55,58,8,16401823
5,45,1,16402917
8,42,11,16403641
7,44,8,16404461
2,46,11,16404970
55,57,10,16405487
56,56,2,16405490
55,58,10,16406171
56,57,11,16406175
58,55,13,16406218
57,58,2,16406224
8,41,3,16406504
60,56,5,16417762
57,56,9,16418261
60,54,13,16418693
59,55,9,16418695
55,45,6,16421974
57,57,11,16422080
2,49,10,16422318
3,48,9,16422323
57,57,10,16422503
60,55,13,16423270
13,41,1,16424843
2,27,3,16425360
58,56,9,16425675
59,54,13,16425826
57,56,10,16426113
58,57,11,16426320
60,55,6,16427180
51,46,10,16427325
50,45,2,16427327
57,54,6,16427447
58,56,10,16427515
45,18,2,16427756
59,57,8,16427950
58,56,0,16427971
60,56,6,16428523
56,56,1,16429133
5,49,11,16429686
61,54,13,16429903
58,57,2,16430135
60,57,9,16430137
58,57,1,16430138
59,57,10,16430290
57,57,2,16430291
11,44,0,16430413
55,45,9,16430587
51,45,10,16430619
52,46,2,16430623
53,44,9,16431310
56,55,9,16431421
3,50,1,16431601
51,44,6,16432005
59,56,10,16432452
57,56,2,16432454
59,56,9,16432457
59,54,1,16432463
6,29,0,16432618
52,45,15,16432826
49,46,1,16432911
46,17,13,16433223
45,16,5,16433246
48,41,6,16433278
51,46,12,16433555
53,46,4,16433556
61,55,5,16433648
9,31,3,16434343
58,56,10,16434876
56,56,2,16434877
61,53,13,16435763
60,57,10,16435813
59,54,9,16435815
60,55,1,16435817
57,56,12,16436458
58,55,4,16436461
59,54,10,16436509
61,55,13,16436868
12,44,0,16437037
52,43,6,16437188
60,56,9,16437230
60,54,1,16437233
51,44,5,16437479
51,44,9,16437483
61,54,6,16437619
42,11,10,16437651
