x,y,feature,timestamp
60,24,2,10904665
8,55,7,11120439
19,51,5,11152337
17,49,5,11152345
11,48,4,11201769
16,36,4,11530041
15,35,4,11551558
52,3,5,11558267
26,32,2,11561848
26,30,1,11590705
36,24,2,11997674
25,28,7,12861424
24,29,7,12862845
27,26,7,12862856
26,28,4,12868370
27,27,4,12869889
26,29,7,13144744
25,30,7,13145161
24,31,4,13152947
26,29,4,13152975
25,29,7,13154235
29,26,7,13155333
28,26,7,13155801
23,30,4,13166302
25,28,4,13166377
25,27,7,13168029
23,29,7,13168514
22,29,7,13168785
24,28,4,13169310
23,31,4,13169531
21,30,7,13169864
25,26,7,13170111
21,32,7,13170911
21,33,4,13171715
28,26,4,13171724
26,25,7,13172313
21,39,6,13172458
18,36,6,13172459
22,29,4,13172471
27,25,4,13172484
26,26,7,13172494
19,34,7,13172837
28,24,7,13173483
18,34,6,13173923
20,32,7,13173926
20,34,4,13174203
22,30,4,13174250
41,26,2,13174261
39,24,2,13174263
20,40,5,13174363
20,42,5,13174484
21,29,7,13174578
32,23,4,13174791
19,34,4,13175083
20,31,7,13175337
23,27,7,13175532
17,35,6,13175883
20,39,6,13175936
30,24,4,13176044
42,27,2,13176056
27,24,7,13176357
18,38,6,13176577
28,25,4,13176711
18,36,4,13176823
20,31,4,13177047
19,33,5,13177111
20,36,6,13177128
17,33,6,13177130
21,44,5,13177150
19,30,7,13177194
20,41,6,13177250
18,39,6,13177251
18,37,4,13177843
20,35,4,13177847
41,25,2,13177864
26,44,3,13178080
19,38,6,13178114
17,36,6,13178116
18,35,4,13178132
17,35,7,13178153
19,41,5,13178192
18,40,5,13178202
16,36,6,13178360
19,40,5,13178391
20,37,4,13178402
20,34,6,13178597
18,32,6,13178599
18,33,7,13178737
19,32,7,13178738
41,25,1,13178823
19,31,4,13178903
22,27,4,13178914
29,23,7,13178973
29,41,3,13179329
18,41,6,13179500
19,36,7,13179508
19,30,4,13179799
18,31,4,13179819
21,27,4,13179954
19,31,7,13179997
19,42,5,13180221
31,23,7,13180353
33,21,7,13180355
17,37,6,13180445
17,33,4,13180491
43,24,2,13180563
29,24,4,13180664
30,23,4,13180666
19,36,5,13180672
16,33,5,13180674
18,39,4,13180738
18,30,7,13180862
47,44,3,13180923
17,33,7,13181093
17,34,7,13181126
19,28,7,13181147
18,40,4,13181262
17,38,5,13181306
40,24,1,13181366
16,37,6,13181474
22,25,7,13181502
39,22,2,13181649
17,32,4,13181674
16,39,7,13181689
44,28,3,13181712
30,23,7,13181766
36,21,2,13181867
38,21,1,13181883
50,38,1,13181896
44,49,1,13181935
42,24,2,13182065
42,24,1,13182076
39,21,1,13182077
17,39,6,13182099
44,24,2,13182198
23,25,4,13182209
16,33,4,13182242
16,32,7,13182257
43,49,2,13182310
27,24,5,13182486
25,22,5,13182492
16,39,6,13182522
16,37,5,13182589
40,24,2,13182631
38,22,2,13182634
17,40,5,13182760
34,23,1,13182847
32,21,1,13182851
16,34,4,13182854
16,39,4,13182880
15,37,6,13183202
16,34,7,13183230
43,24,1,13183265
40,21,1,13183266
15,36,6,13183269
17,36,5,13183289
19,27,7,13183372
21,25,7,13183377
24,21,5,13183610
46,26,2,13183798
34,23,7,13183813
36,21,7,13183816
18,43,5,13183825
15,38,7,13183936
37,20,1,13184135
35,23,2,13184253
33,21,2,13184254
37,22,7,13184257
41,23,2,13184272
39,21,2,13184274
40,22,1,13184294
38,20,2,13184324
43,23,1,13184328
31,21,4,13184384
45,51,1,13184507
16,40,7,13184510
15,33,7,13184547
16,35,4,13184591
17,33,5,13184673
48,50,0,13184688
43,23,2,13184772
35,22,4,13184796
37,19,1,13184868
19,49,5,13184880
16,37,4,13184895
37,23,7,13185044
39,21,7,13185046
14,35,7,13185122
32,21,4,13185146
42,23,2,13185190
41,22,1,13185201
39,20,1,13185203
35,24,4,13185273
16,36,4,13185301
16,46,5,13185309
31,23,5,13185480
18,46,5,13185591
37,22,1,13185682
18,47,5,13185814
14,39,5,13185851
21,25,4,13186050
35,23,7,13186074
22,52,2,13197493
48,49,4,13197507
50,47,4,13197509
48,48,7,13198014
50,35,6,13198173
24,52,1,13198985
22,50,1,13198986
21,46,2,13199257
49,43,4,13199739
50,42,4,13200659
15,35,0,13200864
17,33,0,13200875
48,47,7,13200987
17,41,3,13201422
46,48,4,13201804
48,46,4,13201806
23,48,2,13202585
16,37,0,13202722
51,36,6,13202926
47,45,7,13203421
47,45,6,13203620
15,34,3,13203705
17,32,3,13203707
19,43,3,13204064
46,39,7,13204544
22,40,3,13204923
40,37,6,13205519
45,49,4,13205761
16,32,3,13206029
18,35,2,13206390
19,26,3,13206743
18,30,0,13206983
45,42,4,13207341
44,41,7,13207365
47,38,7,13207367
20,30,1,13207581
17,36,3,13207614
18,27,3,13208091
21,24,3,13208094
18,35,0,13208448
22,23,3,13208513
43,37,1,13208989
24,38,3,13209018
45,37,5,13209060
16,38,0,13209139
19,35,0,13209145
19,36,2,13209147
20,28,0,13209500
17,35,0,13209724
44,32,4,13210080
21,31,1,13210149
22,35,3,13210230
25,35,1,13210288
23,33,1,13210292
46,43,7,13210568
22,24,0,13210635
38,35,7,13210658
23,32,3,13210831
18,30,3,13211224
39,36,6,13211258
29,32,4,13211672
23,40,1,13212007
21,32,1,13212438
46,32,6,13213362
21,33,0,13213490
40,41,5,13213647
44,28,7,13214289
42,30,7,13214622
45,27,7,13214625
19,34,3,13214665
21,32,3,13214667
28,32,4,13214947
19,34,0,13215863
20,27,0,13215870
30,34,3,13215967
21,26,0,13216099
21,33,2,13216915
45,41,4,13217382
24,35,2,13217901
26,44,3,13217975
30,41,0,13218580
21,27,0,13219050
31,23,3,13235402
26,25,0,13240532
25,27,0,13246879
28,24,0,13246880
23,31,6,14218151
17,32,5,14399947
15,30,5,14405874
15,32,5,14437371
10,61,4,17262754
12,59,4,17262828
9,61,7,17263065
11,59,7,17263077
9,60,7,17268976
13,58,4,17269959
10,60,4,17273028
14,57,4,17274940
12,57,7,17276221
12,58,4,17277178
9,58,7,17299420
11,56,7,17299421
12,56,4,17302837
12,55,7,17303465
9,59,4,17304165
8,59,7,17309959
9,57,7,17310433
11,55,7,17310442
11,56,4,17311471
10,55,7,17327700
12,53,7,17330974
11,53,7,17336237
21,48,1,17340514
44,16,2,17558519
26,35,1,17717885
12,40,7,17736224
12,39,4,17738692
11,40,7,17738806
9,46,7,17739185
11,44,7,17739192
10,43,4,17740000
12,41,4,17740001
9,43,7,17740662
10,41,7,17742770
9,44,4,17743922
10,43,7,17744427
8,44,7,17744638
9,42,4,17745181
11,49,6,17745458
8,43,7,17746156
8,45,4,17747191
7,43,5,17749443
8,43,4,17749450
3,44,4,17776174
4,45,1,17776305
2,43,1,17776306
4,40,4,17776343
6,38,4,17776361
23,39,3,17778480
6,42,4,17779131
23,39,6,17779149
53,12,6,17779270
7,41,4,17806456
9,39,4,17806458
8,40,7,17806569
5,36,7,17807940
4,37,1,17835516
3,39,7,17837936
5,37,7,17837937
13,47,7,17839894
11,35,2,17920615
9,33,2,17959303
21,37,0,17963711
21,37,3,17967123
22,34,3,17968433
16,27,7,17968768
4,29,3,17985213
2,31,3,17986224
25,33,0,17989907
27,31,0,17989915
17,29,1,17990920
4,31,0,17992332
26,35,0,17992388
6,28,3,17994706
15,30,2,17994854
6,29,0,17994859
