x,y,feature,timestamp
23,37,6,93184484
10,50,1,93248055
21,36,4,93310598
6,48,4,93372114
3,11,6,94061235
2,10,6,94061267
5,62,4,94212082
6,61,4,94212114
7,60,7,94274519
8,59,7,94274551
8,60,4,94275255
9,59,4,94275287
10,58,4,94277895
9,58,7,94277927
4,61,4,94305681
5,60,4,94305713
3,61,7,94305745
4,60,7,94305777
2,60,7,94335759
3,59,7,94335791
4,58,4,94365871
6,57,4,94367075
7,56,4,94367107
56,53,5,94635601
55,52,5,94635633
54,51,5,94640247
52,50,6,94644811
51,49,6,94644843
57,54,6,94646004
56,53,6,94646036
55,52,6,94648613
54,51,6,94651378
54,50,5,94653323
53,49,5,94653355
53,50,6,94653387
2,50,4,94653419
3,49,4,94653451
2,43,6,94655239
1,42,6,94655271
53,49,6,94667578
53,48,5,94671591
55,50,6,94674976
54,49,6,94675008
54,48,5,94677483
53,47,5,94680327
52,46,5,94680359
53,48,6,94680391
56,49,5,94682973
55,48,5,94683005
54,47,5,94685513
54,48,6,94686829
55,47,5,94698067
54,46,5,94698099
53,45,5,94704253
53,46,6,94704285
56,47,5,94707774
55,46,5,94707806
55,47,6,94708017
54,46,6,94712915
53,45,6,94712947
54,45,5,94714472
32,35,4,94716685
55,44,5,94737585
54,43,5,94737617
53,42,5,94744865
52,41,5,94746896
56,42,5,94773653
55,41,5,94773685
54,42,6,94774888
53,41,6,94774920
19,50,5,94811068
62,42,5,94812565
61,41,5,94812597
23,34,7,95246482
38,33,2,95483133
37,32,2,95483165
39,34,1,95496678
38,33,1,95496710
37,32,1,95496742
36,31,1,95496812
38,34,2,95496844
37,33,2,95496876
36,32,2,95496908
37,33,1,95515608
36,31,5,95647003
38,26,1,96394628
37,25,1,96394660
39,27,1,96395905
38,27,2,96395937
37,26,2,96395969
19,14,0,96777936
20,29,4,96820742
21,28,4,96820774
19,28,7,96822613
20,27,7,96822645
18,29,7,96823568
19,28,4,96824788
20,27,4,96824820
18,29,4,96824876
17,29,7,96824908
18,28,7,96824940
19,27,7,96824972
18,28,4,96827788
19,27,4,96827820
18,27,7,96827852
19,26,7,96827884
20,26,4,96828504
17,29,4,96828932
17,28,7,96828964
21,25,4,96829156
20,25,7,96829188
17,28,4,96830378
18,27,4,96830410
19,26,4,96830442
18,26,7,96830476
19,25,7,96830508
17,27,7,96830540
37,24,5,96830781
16,29,4,96830892
20,25,4,96831637
20,24,7,96831669
17,27,4,96833054
18,26,4,96833094
19,25,4,96833126
37,24,6,96833372
15,29,4,96834648
16,26,7,96835098
35,22,5,96835279
17,25,7,96835804
18,24,7,96835836
18,32,7,96836355
16,26,4,96836472
20,24,4,96836618
30,24,4,96837007
19,23,7,96837075
17,25,4,96837825
18,24,4,96837857
18,32,2,96838372
39,23,5,96838484
38,22,5,96838516
17,30,4,96840273
28,26,4,96840368
29,25,4,96840400
39,23,6,96840896
38,22,6,96840928
10,30,4,96841916
25,31,4,96842375
26,30,4,96842407
27,29,4,96842439
9,29,7,96842471
9,30,4,96842503
10,29,4,96842535
8,29,7,96843652
9,28,7,96843684
13,25,0,96852321
14,24,0,96852353
9,41,5,96853457
8,40,5,96853489
13,25,3,96854991
14,24,3,96855023
15,23,3,96855055
10,41,5,96855847
9,40,5,96855879
10,41,6,96856254
11,42,6,96857216
9,40,6,96857248
15,25,0,96858075
14,26,0,96858107
16,24,0,96858139
17,23,0,96858171
14,25,3,96858203
15,24,3,96858235
16,23,3,96858267
17,22,3,96858299
13,43,6,96859359
12,42,6,96859391
11,41,6,96859423
12,38,0,96859596
42,28,2,96861951
41,27,2,96861983
41,26,1,96862294
40,25,1,96862326
39,24,1,96862358
40,26,2,96862390
39,25,2,96863923
38,24,2,96863955
20,42,5,96865153
41,27,1,96865504
12,33,5,96866697
39,26,2,96867803
38,25,2,96867835
37,24,2,96867867
16,42,5,96869118
37,24,1,96871709
38,25,1,96871990
36,23,1,96872022
17,43,6,96872225
19,22,0,96872969
20,21,0,96873001
18,23,0,96873190
16,25,0,96873298
17,24,0,96873330
16,24,3,96873362
15,25,3,96873394
17,23,3,96873426
18,22,3,96873458
22,44,5,96873542
16,42,6,96873695
20,23,0,96878805
20,23,3,96884763
21,24,0,96885439
33,23,1,96890453
32,22,1,96890485
33,24,2,96890517
32,23,2,96890549
35,24,1,96891238
34,23,1,96891270
34,24,1,96892428
34,25,2,96892460
19,27,0,96894938
20,33,5,96898908
19,32,5,96898940
18,31,5,96898972
26,35,2,97683877
25,34,2,97683909
24,33,2,97683941
27,36,2,97685264
25,33,1,97685438
26,39,1,97743316
24,37,1,97743348
28,40,0,97744603
29,39,0,97744635
30,38,0,97744667
21,39,1,97768619
20,38,1,97768651
22,40,1,97769376
20,40,2,97772326
19,39,2,97772358
21,41,2,97773487
26,42,3,97773899
20,42,2,97774055
19,41,2,97774087
21,43,2,97774119
24,43,1,97774484
23,42,1,97774516
20,40,1,97774982
19,39,1,97775014
27,34,1,97775234
26,33,1,97775266
25,43,2,97775510
28,32,1,97775999
27,31,1,97776031
26,43,1,97776681
25,42,1,97776713
24,41,1,97776745
27,33,2,97778386
26,32,2,97778418
27,33,1,97778526
26,32,1,97778558
21,43,1,97779107
20,42,1,97779311
19,41,1,97779343
25,44,2,97780097
24,43,2,97780129
23,42,2,97780161
24,44,3,97780654
25,43,3,97780686
26,34,1,97780918
25,33,1,97780950
26,35,2,97780982
25,34,2,97781014
20,44,2,97781405
26,34,2,97781476
25,33,2,97781508
28,33,1,97781540
27,32,1,97781572
26,31,1,97781604
18,40,2,97781812
26,37,2,97789861
25,36,2,97789893
22,47,2,97792247
26,37,1,97793629
25,36,1,97793661
23,48,1,97794416
22,47,1,97794448
21,46,1,97794480
21,47,2,97795814
21,48,2,97797197
25,38,2,97798309
24,37,2,97798341
28,33,2,97801449
22,49,2,97801660
20,47,2,97801692
17,47,2,97801851
25,38,1,97802044
24,37,1,97802076
25,39,2,97802287
24,38,2,97802319
23,49,2,97802861
22,48,2,97802893
24,35,2,97804712
24,49,1,97805848
25,39,1,97806211
24,38,1,97806243
24,39,2,97806275
23,38,2,97806307
18,38,3,97806965
19,37,3,97806997
23,50,2,97807214
23,38,1,97808215
22,37,1,97808247
17,49,2,97808371
21,48,1,97808820
17,47,1,97809128
24,49,3,97809160
24,39,1,97809999
23,39,2,97810031
22,51,3,97811072
23,50,3,97811104
17,49,1,97811186
13,32,2,97811935
25,34,0,97812213
14,34,2,97812367
13,33,2,97812399
16,46,2,97812619
15,45,2,97812651
23,40,2,97813087
22,39,2,97813119
23,43,2,97822932
22,42,2,97822964
17,55,1,97826084
17,56,2,97826116
23,43,1,97826193
24,44,1,97826225
22,42,1,97826257
22,43,2,97826289
19,58,2,97827077
18,57,2,97827109
16,55,2,97827141
