x,y,feature,timestamp
11,54,1,53024309
10,16,3,53025039
9,38,5,53026392
16,54,3,53027026
18,54,3,53027282
13,54,1,53027990
17,54,3,53029195
9,17,3,53029197
12,45,3,53029403
44,34,0,53030366
42,34,1,53030594
43,34,3,53030913
12,54,1,53031011
12,19,0,53031202
17,50,1,53031506
8,40,6,53031561
21,34,0,53032549
9,36,3,53035692
15,46,2,53038770
14,54,1,53039957
21,54,6,53042853
16,50,1,53043608
16,50,3,53045351
15,51,2,53052128
6,51,3,53053281
9,53,2,53053292
7,44,1,53054942
13,50,3,53056372
16,46,1,53058112
0,15,2,53058903
11,17,0,53059071
16,51,2,53060359
14,50,1,53060647
13,50,1,53061163
18,34,3,53061873
1,21,0,53062340
13,32,3,53062688
12,35,6,53075812
3,17,0,53077542
11,45,3,53084387
12,50,3,53084688
7,16,3,53085848
7,43,6,53086541
7,44,0,53088465
14,55,2,53088726
3,14,0,53090891
16,51,0,53093951
7,52,0,53121653
20,34,1,53135596
13,19,5,53179789
21,35,3,53201840
2,19,0,53202884
19,41,3,53207642
0,23,6,53209767
21,38,7,53210515
14,55,6,53210872
18,51,0,53216059
12,19,6,53216534
0,45,7,53216854
5,50,4,53217822
10,18,0,53218425
9,45,7,53218501
21,38,1,53223672
21,39,4,53227653
16,54,7,53230162
6,14,5,53231747
11,34,1,53234838
11,54,5,53235446
0,12,7,53235650
18,34,7,53237296
10,17,2,53237725
17,54,7,53238512
21,35,7,53239320
16,51,1,53239467
3,12,7,53239540
10,17,1,53240046
19,54,1,53240980
12,19,4,53241345
2,19,2,53242598
21,51,3,53245919
17,52,6,53246151
16,54,5,53246789
49,55,6,53246980
15,54,5,53247632
12,36,0,53249904
21,52,2,53249946
0,23,2,53250645
18,51,4,53251015
2,19,1,53260870
3,17,1,53261231
16,47,6,53261481
12,50,7,53261624
10,50,4,53263125
0,23,7,53263127
5,45,2,53263924
7,50,6,53264483
13,19,4,53266133
3,44,1,53266175
13,50,7,53266719
11,18,7,53268706
21,36,2,53269482
9,50,4,53270285
8,50,6,53270676
23,54,0,53271192
12,18,7,53272797
6,30,6,53273151
7,52,4,53273557
51,37,5,53274119
5,50,5,53275244
12,35,2,53275799
20,34,5,53276307
21,38,4,53276341
17,46,5,53276425
10,45,3,53276703
12,18,5,53276814
18,33,5,53277818
13,50,5,53277907
15,50,5,53278027
9,45,4,53278230
8,40,2,53278914
18,53,7,53280387
19,34,6,53280560
21,34,7,53282131
1,22,0,53282329
17,50,7,53282398
11,50,4,53287887
12,50,4,53288629
10,50,6,53289563
14,50,5,53289916
11,53,7,53291189
20,33,5,53291625
19,42,1,53291957
2,18,2,53292559
12,18,6,53293478
20,34,6,53293577
11,31,7,53293700
12,17,3,53293781
10,41,1,53293909
16,46,5,53293972
5,44,7,53294039
1,20,2,53294408
12,18,4,53295067
9,38,1,53295879
10,40,2,53296535
15,53,7,53297012
10,53,7,53297016
2,39,7,53297348
21,54,4,53297482
8,30,4,53297877
14,32,7,53297930
2,45,4,53298706
12,35,1,53298718
1,43,7,53299015
1,45,4,53299314
3,16,1,53299383
21,36,1,53299429
20,37,2,53300081
11,38,1,53301698
9,49,5,53301983
8,52,7,53302078
41,35,7,53302190
14,50,6,53302218
13,32,1,53302621
12,45,7,53302648
11,49,7,53302680
7,44,4,53302886
5,50,6,53302969
6,44,7,53303094
4,29,6,53303203
21,34,4,53303249
2,18,1,53303457
7,49,7,53303570
8,49,5,53304235
7,15,4,53304449
12,50,6,53304596
13,50,4,53304897
6,29,5,53304922
21,37,4,53304973
6,51,7,53305377
9,49,7,53305439
10,40,1,53305440
13,50,6,53305510
11,37,2,53305867
7,30,6,53306098
2,12,4,53306202
13,45,7,53306422
14,53,7,53306742
12,53,7,53306778
4,44,4,53307236
17,35,7,53307318
20,40,4,53307401
10,53,4,53307406
20,53,7,53307794
10,39,2,53307996
4,13,7,53308018
8,49,7,53308060
11,32,1,53308252
16,53,6,53308546
13,53,7,53309429
12,53,5,53309620
5,44,6,53309730
11,49,5,53309866
2,43,7,53310117
19,33,5,53310278
17,33,7,53310641
10,49,5,53310668
7,51,5,53311406
20,38,7,53311827
10,15,4,53312018
15,33,6,53312376
14,46,6,53312492
12,49,7,53312884
1,43,4,53313774
13,53,5,53314664
19,33,4,53319301
11,53,4,53319354
2,19,4,53319673
17,33,6,53319728
6,49,5,53320946
9,53,6,53321201
9,30,5,53321336
16,53,7,53322321
9,42,2,53322468
1,19,7,53322482
7,29,7,53322909
0,14,6,53323139
8,39,2,53323298
2,17,2,53323711
14,53,4,53324608
5,44,4,53325615
1,44,7,53325656
12,16,4,53325740
9,49,4,53326005
2,17,7,53326116
11,53,6,53326128
18,32,7,53326160
10,31,6,53326635
9,38,4,53326681
9,52,7,53326790
11,37,1,53326793
17,35,4,53326810
12,34,1,53327014
8,49,4,53327087
3,43,7,53327190
6,49,7,53327200
12,49,5,53328308
9,16,4,53328670
23,53,4,53328995
4,44,6,53329594
9,52,5,53329962
13,49,7,53330038
12,53,4,53330134
14,32,4,53330795
13,53,4,53330839
10,45,6,53331257
11,36,2,53331824
7,43,4,53332324
12,53,6,53332402
0,43,6,53332409
9,42,1,53332413
17,37,6,53332438
21,36,4,53332483
8,15,7,53333414
20,37,7,53333440
12,33,2,53333471
14,45,7,53333514
10,39,7,53333786
12,45,4,53333809
7,41,7,53333869
23,54,6,53334226
20,53,4,53334239
11,35,2,53334649
15,53,4,53334773
6,44,4,53335095
2,17,1,53335268
16,53,4,53335418
8,15,4,53335674
20,37,1,53335943
1,11,7,53336005
9,41,7,53336108
49,34,7,53336124
9,44,1,53336688
18,32,5,53336946
18,33,6,53336949
19,46,5,53337120
13,49,5,53337289
3,49,4,53337297
15,50,5,53337339
10,38,2,53337354
16,46,6,53337519
10,39,1,53337613
11,15,7,53338417
18,42,2,53338448
2,43,4,53338482
8,30,6,53338999
2,18,4,53339073
17,33,4,53339781
13,53,6,53340551
17,52,5,53340727
6,43,7,53340833
8,52,6,53340845
16,52,3,53340860
11,45,6,53341819
41,35,4,53342523
2,16,2,53342553
39,38,5,53342639
5,13,7,53343028
13,52,5,53343168
20,36,7,53343468
7,49,4,53343486
11,15,4,53344509
10,52,5,53347900
37,38,3,53350599
9,40,2,53352152
15,45,7,53352585
1,44,4,53352702
11,36,1,53353315
15,45,5,53353986
10,44,7,53354027
2,15,6,53354067
5,43,7,53354831
1,18,7,53354840
12,52,7,53354967
6,29,6,53354991
9,16,5,53355443
17,52,7,53356212
13,52,7,53356257
12,52,5,53356842
5,28,5,53357352
8,44,3,53357383
12,17,7,53358203
16,32,7,53358514
9,52,4,53359130
20,36,1,53359146
2,16,1,53359173
14,52,7,53359454
50,46,1,53359644
14,52,5,53359703
7,48,7,53360328
10,37,2,53360451
7,29,4,53360658
16,32,5,53360752
47,34,4,53360857
19,39,7,53360983
7,42,4,53360994
20,41,1,53361372
6,49,4,53361867
11,44,7,53362627
12,49,6,53362632
1,13,7,53363241
4,44,7,53363657
9,33,5,53363760
16,50,4,53364470
49,51,7,53365112
43,35,4,53365405
43,34,7,53365407
11,35,1,53365560
6,38,5,53365742
51,37,1,53365901
10,16,4,53366329
5,13,4,53366633
1,19,4,53366726
9,33,6,53368443
2,44,4,53368472
21,33,5,53368518
34,38,2,53368674
13,31,7,53368998
12,17,4,53369220
4,32,7,53369616
8,51,7,53369836
9,15,7,53370147
9,30,6,53370407
10,37,1,53370794
18,41,2,53370808
39,35,4,53371014
2,14,1,53371033
12,44,7,53371079
11,17,6,53371111
20,51,7,53371335
10,36,2,53371740
49,34,4,53371959
1,42,7,53372003
8,13,4,53372284
10,38,1,53372291
23,31,4,53373131
16,45,4,53373540
21,39,6,53373547
11,33,5,53373714
7,49,1,53373795
10,52,6,53374010
2,48,5,53374157
18,43,1,53374557
9,39,2,53374598
19,52,0,53374850
16,52,6,53374884
3,49,6,53375253
6,28,7,53375619
16,34,7,53375884
12,31,1,53380288
10,39,4,53381978
13,52,4,53384414
15,45,4,53384899
38,37,5,53385166
1,17,7,53385540
6,50,4,53385852
22,52,7,53386753
13,52,6,53387170
19,37,2,53387291
43,34,6,53387535
8,37,1,53387589
19,43,1,53387879
9,32,6,53388428
20,37,4,53388974
9,40,1,53389057
6,44,7,53389331
14,52,4,53389589
10,44,4,53389756
10,14,7,53389823
18,45,2,53390075
18,45,1,53390089
6,43,4,53390238
6,42,7,53390240
13,31,4,53390272
1,18,4,53390849
20,35,7,53391111
18,42,1,53391619
31,34,4,53391707
1,40,7,53393031
51,36,4,53393229
1,43,7,53393905
2,42,7,53394140
7,12,7,53394410
50,44,4,53394476
17,43,2,53395022
31,34,6,53395822
11,44,4,53397593
12,52,6,53397737
0,18,7,53397855
8,32,1,53398243
9,51,5,53398451
49,47,2,53398675
9,29,5,53398892
6,13,7,53399078
11,32,2,53399383
7,51,6,53399736
12,45,7,53399925
16,51,5,53400119
43,39,7,53400385
49,48,7,53400615
3,48,5,53401207
20,36,4,53401280
15,49,5,53401288
45,33,5,53401567
14,31,4,53401945
1,42,4,53401947
46,33,7,53402321
17,39,7,53402400
38,37,6,53402754
18,48,3,53402996
14,49,5,53403023
48,33,7,53403720
17,51,5,53403778
1,10,7,53403867
39,34,0,53404151
10,51,4,53404164
40,34,7,53404306
11,16,5,53404478
9,39,1,53404616
9,51,4,53404707
29,40,4,53404855
10,35,2,53404961
48,55,2,53405430
13,44,7,53405701
46,38,2,53405828
0,38,6,53405889
11,31,6,53406305
18,41,1,53406378
20,51,4,53406633
15,44,7,53406714
49,51,4,53407054
8,40,2,53407072
11,51,5,53410137
13,51,7,53412336
12,16,7,53412655
21,34,4,53415204
20,34,7,53415206
17,44,2,53416015
29,39,4,53416790
10,36,1,53416970
9,38,2,53417309
12,51,7,53417616
10,43,7,53418160
6,28,4,53418326
30,34,7,53418555
6,40,7,53418719
6,13,4,53419116
22,51,5,53419623
11,16,6,53420137
33,37,0,53420664
49,44,2,53420831
11,44,6,53421249
6,37,3,53421445
3,48,4,53421483
10,29,7,53421543
14,44,7,53421647
2,48,7,53421731
13,49,6,53421732
19,41,2,53421816
17,49,4,53422114
6,42,4,53422290
4,42,7,53422323
12,30,5,53422329
19,36,7,53422470
14,50,4,53422764
40,34,6,53422782
22,52,6,53422863
2,48,6,53423006
50,36,2,53423330
17,42,2,53423511
17,42,1,53424133
1,31,5,53424264
6,40,2,53424296
16,49,4,53424736
16,49,6,53424741
12,30,7,53425937
6,40,4,53426267
6,39,7,53426426
12,16,5,53426470
13,30,7,53426542
38,34,7,53426839
3,11,7,53427071
8,50,7,53427098
20,52,4,53427266
14,51,4,53427318
18,44,0,53427371
5,42,7,53427592
48,54,1,53427748
14,49,6,53427858
1,15,1,53428014
39,38,4,53428055
9,51,6,53428101
8,40,1,53428143
20,33,1,53428378
38,36,1,53428695
5,37,7,53428852
1,40,4,53429262
1,10,4,53429310
16,51,6,53429595
10,51,6,53429857
9,50,7,53429876
49,48,4,53430447
18,44,3,53430842
7,33,2,53430868
12,45,4,53431392
15,51,6,53431615
20,35,4,53431840
8,14,4,53431854
20,49,5,53431933
10,15,7,53432006
11,32,1,53432367
6,40,1,53432374
9,38,1,53432396
13,51,4,53432521
1,43,4,53432543
49,43,7,53432677
7,41,2,53433149
8,50,5,53433180
12,51,4,53433223
21,32,4,53433228
7,33,1,53433338
7,50,4,53433773
0,41,7,53433784
1,16,4,53433803
18,38,1,53433840
10,33,2,53434146
16,48,5,53434281
1,14,2,53434525
11,51,6,53434781
20,49,4,53435194
8,28,7,53435452
30,34,4,53436192
30,33,7,53436195
5,12,3,53436380
0,16,2,53436531
39,39,4,53436886
42,33,5,53437217
50,35,7,53437519
20,32,3,53437550
17,44,2,53437625
49,50,4,53438051
48,50,7,53438053
34,35,1,53438128
45,36,7,53438714
4,34,4,53439744
6,41,4,53441361
12,16,4,53442059
5,41,2,53443432
19,35,1,53444871
3,47,5,53446385
3,48,6,53446389
9,50,5,53446430
7,13,6,53446552
22,32,7,53446852
20,33,7,53447283
19,48,7,53447785
17,35,1,53448317
11,14,4,53448414
2,47,7,53448542
11,43,5,53449475
17,39,4,53449724
0,42,7,53449892
28,40,7,53449958
14,48,5,53449991
16,48,7,53450124
20,34,4,53450818
8,39,2,53450867
7,34,5,53450904
10,50,7,53451156
19,35,7,53451258
13,48,5,53451402
16,35,3,53451818
12,50,5,53451875
15,48,7,53452052
