x,y,feature,timestamp
17,16,3,10053522
18,15,4,10053813
21,17,3,10055525
24,17,4,10056683
17,3,0,10058216
14,15,7,10059401
19,15,7,10059587
16,16,0,10059638
16,1,3,10072273
15,1,7,10074619
23,18,0,10080321
16,14,4,10084943
17,14,7,10085043
16,14,0,10088432
19,15,4,10089915
19,1,0,10091158
18,16,3,10213217
22,16,4,10214752
15,13,7,10218561
17,14,4,10230985
17,1,0,10231466
18,14,7,10232099
22,17,7,10232197
25,17,4,10234035
21,17,4,10237833
15,15,4,10238467
16,15,7,10238546
21,15,7,10239176
23,17,7,10239528
19,2,0,10242844
30,5,7,10243777
16,13,7,10244184
23,16,7,10244649
17,1,3,10244677
30,5,4,10245120
22,17,4,10245152
14,14,7,10245475
23,16,4,10246229
9,44,0,10247082
10,44,7,10250061
18,2,0,10250262
18,14,4,10250794
25,17,0,10251001
19,1,3,10256122
17,15,7,10261115
24,16,7,10264126
22,15,7,10265849
16,15,4,10267168
16,13,4,10267722
20,1,0,10268172
21,16,7,10269096
29,5,7,10269274
19,14,3,10269521
18,15,3,10269612
17,13,7,10269685
31,5,3,10270293
18,2,3,10270599
8,43,7,10270858
5,42,0,10271726
19,16,0,10271964
25,2,3,10272641
7,43,4,10273455
21,15,4,10274027
19,14,4,10274401
20,16,7,10275559
3,41,7,10276136
23,17,4,10276816
3,41,4,10276918
2,55,0,10277276
40,1,0,10278159
19,2,4,10278767
10,44,4,10279135
20,15,0,10279899
12,45,0,10280074
6,42,7,10280115
1,40,7,10280365
3,55,3,10280590
15,14,0,10280927
20,14,7,10281380
17,15,4,10282675
6,62,3,10285834
31,5,4,10286004
18,13,7,10288557
17,13,4,10292664
22,15,4,10292999
24,16,4,10293637
8,43,4,10294330
25,16,7,10295045
16,14,7,10295373
20,46,3,10295408
24,5,0,10295757
16,12,7,10297577
23,15,7,10297585
2,40,7,10297586
22,16,7,10297908
18,15,4,10298000
19,47,7,10299243
24,17,4,10299289
20,14,4,10299297
30,5,4,10299326
2,40,4,10299725
1,40,4,10299814
11,44,0,10299988
20,45,7,10300154
21,14,7,10300240
31,5,7,10300811
2,54,7,10300929
19,15,0,10300997
9,43,7,10301608
19,1,7,10301869
3,49,0,10301908
18,62,4,10302085
10,61,0,10302672
8,60,4,10303054
19,13,7,10303650
9,43,4,10303670
21,44,4,10303910
