x,y,feature,timestamp
62,10,5,10788485
62,10,6,10970360
61,13,0,10979897
61,11,1,11369450
61,13,0,11373684
61,13,0,11448658
62,11,6,11452437
62,10,6,11457986
42,6,6,11464194
61,12,3,11473591
61,11,1,11532129
62,10,6,11551754
61,13,0,11555657
61,12,3,11560003
56,15,6,11583067
35,17,0,11588446
58,13,6,11610075
58,14,1,11662183
61,13,0,11667394
60,12,5,11675874
61,11,1,11686639
61,11,2,11686640
43,6,1,11698665
57,14,1,11700305
57,15,3,11704116
61,13,0,11849009
58,14,1,11859483
58,14,2,11859484
62,11,6,11866338
62,10,6,11873395
61,12,3,11881533
60,12,5,11884286
59,13,6,11884287
61,13,0,11947660
61,12,3,11949675
58,14,1,11958933
61,11,1,11959064
59,13,6,11966800
41,6,1,11969201
60,13,3,11982000
42,5,6,12046627
60,12,5,12069302
61,11,2,12109137
61,11,1,12110641
58,14,1,12130282
58,14,2,12130283
62,11,1,12174868
41,6,1,12176758
61,12,3,12185432
42,6,6,12194311
57,15,3,12202908
55,16,1,12203348
61,13,0,12259928
61,11,2,12261288
42,5,6,12262378
61,12,3,12265663
35,10,5,12266228
34,11,6,12266232
33,12,1,12266235
61,11,1,12269103
43,4,5,12271619
60,12,5,12273979
42,6,6,12274936
44,5,6,12278877
56,15,6,12280271
41,7,1,12282106
41,6,1,12286102
62,10,1,12289161
60,13,3,12290113
33,12,0,12294805
61,11,2,12330540
61,11,1,12335593
42,5,6,12342708
61,13,0,12343358
43,6,1,12345199
61,12,3,12347036
43,4,5,12349076
58,14,1,12349693
58,14,2,12349695
41,6,1,12357536
59,13,6,12360199
60,12,5,12361769
44,5,6,12362998
42,6,6,12363484
57,15,3,12379679
61,13,0,12452557
42,5,6,12453882
61,11,2,12456284
58,14,1,12463317
61,11,1,12463539
43,6,1,12469008
61,12,3,12481523
57,15,3,12486123
59,13,6,12487634
42,6,6,12488559
61,13,0,12526875
61,12,3,12543700
58,14,1,12556661
61,11,1,12671865
61,11,1,12753445
61,13,0,12811238
62,10,6,12963378
61,13,0,12964342
60,12,5,12983464
61,13,0,13078892
61,12,3,13084746
58,13,6,13090214
42,7,2,13095361
27,30,2,13101770
29,28,5,13103186
42,7,3,13103955
15,30,3,13106543
58,12,5,13111659
57,13,6,13111660
9,31,2,13112547
59,14,0,13113614
5,32,2,13114516
6,32,0,13115417
60,11,6,13116524
60,11,5,13116525
4,32,2,13116999
62,10,4,13117706
44,13,2,13123118
0,7,2,13123714
9,31,1,13123859
51,5,1,13125747
46,15,5,13126504
52,55,3,13126646
52,55,1,13126948
33,10,5,13127254
31,12,1,13127258
62,9,4,13127669
61,10,5,13127914
29,30,0,13128053
18,20,5,13128124
44,25,5,13129180
12,31,3,13129298
61,10,6,13129705
59,12,6,13131841
59,12,5,13131842
53,55,3,13133064
60,12,6,13133285
28,30,2,13133584
54,55,0,13133716
61,11,5,13133741
9,30,5,13134363
9,30,6,13134639
13,36,0,13134766
62,9,6,13134991
62,9,5,13134993
17,2,3,13136043
13,31,1,13136674
7,32,1,13137197
12,32,2,13138404
56,14,2,13138735
5,33,0,13138745
30,30,0,13138864
14,31,3,13138919
49,9,5,13139172
14,32,0,13139244
11,34,0,13139471
36,31,6,13139685
0,6,3,13139689
27,17,1,13139793
12,17,1,13140724
20,1,6,13140800
1,12,2,13141330
27,30,2,13141410
61,11,6,13141953
10,31,3,13141957
11,34,5,13142153
57,4,2,13142485
59,11,5,13142723
62,8,4,13142739
18,1,5,13143421
52,55,1,13143630
59,11,6,13144828
2,7,0,13144855
61,11,3,13145571
59,12,5,13145659
58,13,6,13145660
46,11,5,13145691
8,32,3,13145696
60,4,1,13145762
34,15,5,13146916
36,29,1,13147521
11,32,6,13147642
1,12,6,13147714
35,31,1,13147878
32,30,2,13148897
3,14,5,13149134
11,34,2,13149398
62,11,0,13150181
61,3,6,13150374
6,33,0,13150988
58,14,0,13151666
60,10,5,13151700
14,3,1,13151845
33,14,0,13152167
32,30,1,13152289
13,34,5,13152302
9,32,3,13152872
60,10,6,13152960
13,3,1,13152988
19,2,3,13153558
33,11,5,13153821
55,15,2,13153833
59,2,2,13154308
2,17,1,13154500
55,15,1,13154627
58,13,3,13154979
52,56,2,13155769
54,15,1,13156607
34,16,3,13156834
10,32,3,13156900
9,36,2,13156977
61,9,5,13157123
11,11,1,13157359
0,7,1,13157518
24,14,5,13157716
61,9,6,13157848
17,32,2,13157955
59,1,3,13158071
3,33,1,13158139
57,2,5,13158414
55,4,1,13158418
43,4,5,13158641
54,56,0,13158865
11,6,1,13159304
4,33,1,13159823
4,33,2,13159825
5,32,1,13159826
25,15,3,13159946
57,2,0,13160322
12,15,6,13160472
19,30,5,13160474
34,32,0,13160605
1,13,6,13160827
39,5,2,13160892
46,19,0,13160905
12,32,0,13161016
30,13,1,13161145
16,3,2,13161166
62,8,4,13161459
25,14,1,13161473
8,34,3,13161776
39,8,2,13162001
13,25,1,13163187
36,32,5,13163292
62,8,5,13163549
58,11,5,13163630
35,31,3,13164061
10,31,1,13164103
11,32,0,13164478
14,32,1,13165058
14,32,2,13165060
13,37,0,13165323
57,13,5,13165416
15,3,1,13165742
21,2,2,13165818
22,1,1,13165819
53,56,1,13166172
33,32,2,13166495
56,13,1,13166574
8,7,1,13167386
10,21,1,13167530
32,14,1,13167561
36,32,6,13169547
12,31,1,13170094
62,5,4,13170790
56,13,5,13171422
10,8,5,13172228
16,32,1,13173007
20,32,2,13173042
0,13,1,13173238
40,29,0,13176125
60,11,2,13177034
54,56,3,13177062
41,5,6,13177172
11,36,2,13177248
54,15,2,13178413
38,33,6,13179028
62,8,6,13179092
30,9,1,13179276
59,13,0,13179315
41,6,6,13179330
60,10,2,13179555
61,10,1,13179798
40,7,1,13179911
56,13,5,13179975
43,7,0,13180491
31,11,1,13180609
43,8,0,13181117
44,5,5,13181380
60,12,0,13181536
55,15,2,13181590
54,15,1,13181699
16,21,1,13181816
16,21,2,13181818
33,12,1,13181871
33,12,2,13181872
34,11,2,13181874
34,11,1,13181875
57,12,6,13182227
57,13,6,13182663
57,13,5,13182664
44,18,2,13182700
46,19,0,13182872
42,7,2,13182926
59,11,6,13183041
39,29,2,13183087
41,7,3,13183103
32,15,2,13183108
46,17,5,13183149
41,6,3,13183605
42,7,0,13183606
42,7,3,13183607
32,12,3,13183715
46,18,0,13183739
57,13,2,13183742
58,12,1,13183743
41,8,3,13183915
34,15,3,13184132
8,32,2,13184460
35,18,0,13184770
46,12,0,13184950
42,6,2,13185152
34,15,6,13185205
59,11,5,13185666
46,11,5,13185756
32,11,2,13186381
13,20,6,13186413
39,20,1,13186851
11,35,3,13186871
17,32,2,13187054
1,12,6,13187056
60,11,3,13187087
62,10,1,13187139
47,24,0,13187360
42,3,5,13187503
41,4,6,13187506
12,32,3,13187525
13,33,0,13187527
34,31,2,13187944
61,9,1,13187979
52,6,0,13187994
1,14,0,13188034
43,6,2,13188316
61,10,2,13188397
62,9,1,13188399
46,13,0,13188822
40,5,1,13188884
58,11,5,13189399
56,13,1,13189447
19,30,5,13189451
59,5,2,13189467
60,4,1,13189469
46,15,5,13189471
6,33,3,13189492
52,3,5,13189884
3,16,1,13190048
32,9,5,13190197
32,10,2,13190462
46,17,0,13190469
60,11,2,13190711
61,10,1,13190712
31,8,6,13190714
35,16,5,13191279
60,11,1,13191325
30,29,5,13191431
59,0,1,13191783
13,32,1,13191882
13,32,2,13191884
33,11,5,13192281
61,3,6,13192448
32,11,0,13192659
61,5,0,13192753
34,9,5,13192763
59,12,2,13192765
58,14,0,13192881
52,2,5,13192887
33,9,3,13192889
56,14,6,13192916
61,2,6,13192959
