x,y,feature,timestamp
44,20,0,13468609
42,19,3,13477442
45,35,3,13480423
50,43,3,13480843
56,46,1,13481790
61,52,0,13482259
26,40,3,13490595
8,9,0,13495078
28,40,3,13496903
61,50,1,13497497
49,35,3,13497802
45,44,6,13499624
61,52,3,13499955
62,53,0,13499956
57,47,3,13500759
60,49,2,13502239
12,39,2,13503284
4,37,3,13504287
5,38,0,13504288
61,51,2,13505404
58,50,0,13505525
62,53,3,13511809
27,40,3,13513952
28,41,0,13513953
63,26,0,13516321
49,43,3,13517352
26,40,1,13519326
54,47,3,13522048
40,35,3,13522909
41,19,3,13524445
42,24,0,13525419
47,49,3,13528829
51,20,3,13533911
52,21,0,13533912
54,46,2,13534462
50,20,3,13537429
49,20,3,13538999
55,46,1,13539357
55,47,2,13539562
9,9,0,13539678
48,43,3,13540774
2,37,2,13544133
53,12,3,13545464
54,13,0,13545465
25,40,1,13546309
16,37,0,13546816
60,49,1,13547515
48,20,3,13550282
49,21,0,13550283
52,17,3,13551248
53,18,0,13551249
61,51,1,13558407
12,9,0,13560013
61,52,2,13560768
25,41,2,13562381
47,43,3,13564023
60,51,2,13567024
38,19,0,13567232
42,43,0,13569663
25,41,1,13570179
12,39,1,13572524
44,46,3,13573764
45,47,0,13573765
2,10,0,13584177
5,37,1,13586159
55,47,1,13587178
27,35,5,13587232
60,51,1,13588489
16,40,1,13588727
20,46,2,13588802
45,35,1,13589108
54,47,2,13590658
52,44,1,13591187
46,20,3,13591631
47,21,0,13591633
54,14,0,13593270
28,7,3,13594023
29,8,0,13594025
61,52,1,13597196
49,44,3,13598916
62,53,1,13601451
46,46,3,13602662
47,47,0,13602663
33,7,3,13602857
10,9,0,13603974
62,54,2,13604409
30,7,3,13604896
57,50,2,13605423
24,41,2,13606651
11,39,1,13607290
32,8,0,13609059
60,52,2,13610739
5,38,3,13610952
4,10,0,13611515
52,20,1,13615203
48,44,3,13616818
57,49,1,13617117
3,10,0,13617978
59,52,2,13618286
53,21,3,13619751
54,22,0,13619753
45,46,0,13619984
50,45,3,13620519
2,37,1,13628517
60,17,3,13629397
60,53,2,13631266
45,28,3,13631693
49,20,1,13632425
54,48,2,13633507
43,43,3,13634310
8,38,1,13634586
47,44,3,13634644
54,47,1,13634797
61,54,2,13636579
44,20,3,13637208
45,21,0,13637210
11,40,2,13637697
51,47,2,13638389
45,20,3,13639394
46,21,0,13639395
4,38,2,13640367
62,54,1,13643756
2,38,3,13644457
47,38,2,13645440
26,1,6,13650358
49,45,3,13652534
43,43,2,13655503
43,20,3,13656038
44,21,0,13656040
57,50,1,13656656
42,43,3,13656857
12,40,2,13657082
56,50,2,13660569
59,52,1,13661171
14,41,2,13667323
45,36,2,13668176
46,36,2,13668558
1,38,2,13671824
34,7,1,13672012
52,15,3,13672276
53,16,0,13672278
3,38,1,13672409
11,40,1,13672434
48,45,3,13674108
5,13,3,13675319
40,15,2,13675443
53,48,2,13676117
1,38,1,13676424
20,45,1,13679143
58,54,0,13679541
33,7,1,13680423
44,44,3,13680731
45,45,0,13680733
5,38,1,13682253
37,7,1,13683566
15,41,2,13684391
21,41,0,13685592
2,39,2,13686034
56,50,1,13688656
47,45,3,13693180
54,48,1,13693662
47,20,1,13696031
48,21,3,13699021
12,42,0,13699391
12,40,1,13700015
61,55,2,13700112
44,20,2,13705675
62,27,0,13707124
37,19,3,13708091
14,47,2,13708789
50,21,3,13709039
52,11,5,13717195
49,46,3,13718491
45,20,1,13718947
19,46,2,13719942
51,15,2,13720969
45,48,3,13724429
49,21,2,13727881
47,21,3,13728839
48,22,0,13728840
2,41,0,13731614
55,51,2,13731655
47,36,1,13734692
24,42,1,13734921
44,20,1,13735036
9,9,3,13737327
10,10,0,13737329
19,48,0,13740323
23,43,2,13740780
51,15,3,13743275
52,16,0,13743276
52,24,6,13743784
54,49,1,13744493
2,39,1,13750656
52,11,6,13753091
11,41,2,13754439
12,9,3,13763028
10,9,3,13763314
48,46,3,13765840
61,55,1,13766068
46,21,3,13766070
47,22,0,13766071
58,42,1,13768994
46,36,1,13770703
45,36,1,13770812
30,8,3,13771243
31,9,0,13771244
8,10,0,13771748
36,19,3,13772797
37,20,0,13772798
44,48,3,13773305
5,9,3,13775322
6,10,0,13775323
31,8,3,13776240
32,9,0,13776241
33,8,2,13777646
46,20,1,13778719
47,21,2,13778759
34,8,3,13780225
35,9,0,13780227
51,15,1,13783476
36,9,0,13783551
40,20,2,13789020
47,28,1,13791371
28,8,3,13794187
29,9,0,13794188
25,8,3,13798027
26,9,0,13798028
53,21,1,13798487
46,21,2,13799771
5,39,1,13803105
19,47,3,13804466
21,41,3,13804585
21,12,3,13806245
22,13,0,13806248
12,12,3,13806638
52,21,1,13811165
12,42,3,13812007
44,10,0,13813583
62,57,1,13814619
17,47,3,13816291
61,17,3,13816435
24,41,1,13827808
21,13,3,13827817
22,14,0,13827818
47,46,3,13828328
48,47,0,13828330
5,10,0,13831203
44,21,3,13832211
45,22,0,13832212
53,22,3,13833868
61,18,3,13836187
32,8,2,13836723
9,17,0,13837431
47,39,3,13839203
20,22,3,13839637
21,23,0,13839638
40,24,3,13840400
41,25,0,13840401
41,21,3,13842769
45,21,2,13846035
46,39,3,13848614
47,40,0,13848615
19,20,0,13849325
22,15,0,13849556
19,21,0,13854085
45,21,3,13858001
46,22,0,13858004
43,21,3,13863261
44,22,0,13863262
58,43,3,13865149
19,13,3,13866782
20,14,0,13866784
50,17,3,13880573
51,18,0,13880574
20,23,3,13881812
21,24,0,13881813
22,8,3,13881881
21,13,6,13885307
14,43,0,13885366
49,21,1,13886091
21,15,3,13891034
22,16,0,13891035
18,21,3,13892616
19,22,0,13892617
21,17,5,13894371
19,13,6,13895124
21,14,6,13897248
49,47,3,13898191
50,48,0,13898192
21,16,3,13898755
22,17,0,13898757
19,16,5,13902144
18,30,0,13904226
46,37,2,13905762
19,48,3,13906980
20,49,0,13906981
20,22,6,13909641
18,29,0,13910573
22,11,5,13913780
19,31,3,13914039
20,32,0,13914041
57,43,2,13916273
20,24,3,13917568
21,25,0,13917569
50,16,2,13917756
58,21,3,13918177
5,15,3,13918300
22,9,3,13920199
51,34,3,13920484
19,17,5,13921122
16,49,0,13924314
18,24,5,13924679
46,29,2,13926212
60,44,0,13928023
21,18,5,13931310
25,2,2,13931407
18,22,3,13932518
19,23,0,13932519
19,15,3,13938224
20,25,3,13938319
45,51,0,13939656
8,21,3,13939959
20,26,5,13940481
50,49,3,13940724
27,2,0,13940885
26,44,3,13943528
27,45,0,13943530
13,10,3,13944274
20,23,6,13945068
21,17,3,13945898
19,16,3,13948463
20,17,0,13948464
11,9,2,13948736
52,31,5,13950754
22,10,3,13950907
19,14,6,13950928
52,22,2,13952094
34,35,1,13953269
58,41,3,13953588
59,42,0,13953590
21,19,5,13954784
45,38,0,13954873
21,15,6,13954915
33,8,1,13957212
48,47,3,13957611
32,8,1,13959384
36,20,3,13960890
50,22,3,13964966
13,12,5,13966065
17,29,6,13966066
18,23,3,13968542
19,24,0,13968544
8,9,3,13968964
9,10,0,13968965
51,16,3,13968997
52,17,0,13968998
10,9,2,13969323
56,52,0,13969817
46,53,3,13970350
47,54,0,13970352
10,17,0,13970915
18,21,6,13971451
22,12,5,13971593
19,18,5,13972318
18,22,6,13972649
20,27,5,13974562
9,9,2,13975091
18,26,5,13976055
21,18,3,13976736
21,16,6,13978265
18,25,5,13979171
20,24,6,13979821
45,21,1,13983135
13,11,3,13983581
14,12,0,13983582
46,21,1,13984221
25,2,1,13984937
22,9,6,13986613
21,21,5,13986941
22,11,3,13987582
48,22,3,13988191
19,33,3,13988578
20,34,0,13988579
19,31,6,13988708
35,26,0,13990799
31,8,1,13991472
17,31,3,13991627
18,32,0,13991628
20,26,3,13991654
47,21,1,13991769
21,17,6,13993423
52,16,3,13995530
53,17,0,13995531
20,28,5,13995884
18,24,3,13996329
19,25,0,13996331
18,25,3,13998080
19,26,0,13998082
51,50,3,13998813
52,51,0,13998814
22,13,5,13999152
59,19,3,13999811
20,25,6,14000525
62,27,3,14000658
62,16,3,14001240
13,12,3,14003049
22,14,5,14003459
21,18,6,14003728
42,23,3,14005242
22,11,6,14006496
59,44,3,14010015
49,48,3,14011595
50,49,0,14011596
47,22,3,14012575
48,23,0,14012576
22,13,3,14013079
23,14,0,14013080
61,58,2,14015091
54,22,3,14015603
21,20,3,14015923
24,3,2,14016260
41,19,0,14018435
46,37,1,14020925
23,44,3,14021056
52,22,1,14021222
13,13,3,14022558
13,12,6,14022890
18,27,5,14024113
22,12,6,14024171
55,17,5,14024204
22,15,5,14026203
25,2,3,14026926
26,3,0,14026927
22,14,3,14027110
23,15,0,14027112
9,16,3,14029076
10,17,0,14029077
52,18,0,14031142
24,3,1,14032122
23,8,3,14032463
20,27,3,14032570
21,21,3,14032666
3,41,0,14032819
23,8,5,14032946
21,22,5,14033040
46,22,3,14033461
47,23,0,14033462
20,29,5,14034255
48,48,3,14035096
20,26,6,14035684
40,17,3,14035973
41,18,0,14035974
52,31,6,14036350
45,22,3,14036405
21,42,3,14037801
22,43,0,14037803
17,43,3,14037881
37,38,3,14038041
17,30,6,14038464
59,21,5,14038546
22,16,5,14038675
41,26,0,14038680
22,13,6,14038867
22,15,3,14039989
23,16,0,14039991
44,22,3,14041485
45,23,0,14041486
58,23,3,14041878
59,24,0,14041879
20,28,3,14042067
23,4,2,14043671
15,43,2,14043719
18,26,3,14043835
19,27,0,14043836
21,23,5,14045511
23,10,5,14045777
21,20,6,14046049
38,20,3,14046180
39,21,0,14046181
45,22,2,14046325
50,49,3,14046709
51,50,0,14046710
54,23,3,14047184
50,38,3,14048737
1,14,3,14048823
17,32,3,14049112
57,44,2,14049975
21,22,3,14051864
22,23,0,14051865
49,31,0,14052315
22,17,5,14053622
52,35,3,14054397
53,36,0,14054398
23,9,3,14054489
24,10,0,14054490
52,52,0,14056925
23,10,3,14057103
24,11,0,14057104
35,9,3,14057935
36,10,0,14057937
17,31,6,14057964
22,14,6,14059039
29,1,1,14060806
20,27,6,14062117
23,11,5,14063055
21,21,6,14064503
14,11,5,14064820
48,31,0,14065089
52,23,3,14065878
49,49,3,14065966
22,16,3,14068601
23,17,0,14068602
31,9,3,14068933
17,33,5,14069148
45,38,2,14069916
19,33,6,14069930
45,39,0,14070343
46,39,0,14070476
56,16,3,14071054
57,17,0,14071056
51,23,3,14072107
22,45,1,14072645
21,24,5,14072798
51,23,2,14074243
30,1,2,14074390
22,15,6,14075456
17,32,6,14075656
14,12,5,14076405
32,9,3,14076490
33,10,0,14076491
46,22,2,14076492
23,12,5,14076919
32,9,2,14077354
23,8,6,14077521
52,17,3,14077749
20,30,5,14078761
48,52,2,14079052
21,23,3,14080813
22,24,0,14080815
53,17,3,14081814
48,49,3,14082054
50,37,3,14082428
46,49,0,14083824
14,11,3,14084305
15,12,0,14084306
59,17,2,14084422
29,1,3,14085365
30,2,0,14085367
22,16,6,14085369
21,22,6,14085497
46,22,1,14086076
47,52,3,14086199
22,19,5,14086241
47,31,0,14086361
23,10,6,14086394
59,22,3,14086593
60,23,0,14086595
52,10,1,14086793
24,7,5,14087430
50,50,3,14087760
51,51,0,14087761
20,29,3,14087783
50,38,0,14087896
23,11,6,14087936
46,52,3,14089100
50,16,1,14089530
29,9,3,14089637
30,10,0,14089639
48,23,3,14089687
20,28,6,14090161
1,13,0,14090235
47,49,3,14091313
45,22,1,14091355
25,47,6,14093806
23,13,5,14094371
8,16,0,14094659
23,12,3,14095517
24,13,0,14095518
25,45,2,14096963
38,23,0,14097113
54,12,0,14097138
22,17,6,14097534
22,18,3,14097570
23,19,0,14097572
47,23,3,14097598
48,24,0,14097599
33,1,0,14098121
49,50,3,14098781
22,20,5,14099284
21,24,3,14099332
22,25,0,14099334
52,23,1,14099580
23,14,5,14100610
60,24,0,14101679
53,28,3,14101797
24,9,5,14102182
52,56,0,14102814
14,12,6,14102858
25,9,0,14104906
23,15,5,14104939
49,31,3,14105291
50,32,0,14105292
46,23,3,14105409
51,23,1,14105588
22,19,3,14106770
23,20,0,14106771
46,38,1,14107315
13,14,3,14107977
24,10,5,14108328
14,13,3,14108861
62,22,0,14108869
45,42,0,14109037
53,18,1,14109409
23,14,3,14109872
22,43,3,14109893
23,44,0,14109894
46,24,0,14110603
52,18,3,14111036
53,19,0,14111037
48,50,3,14111343
37,21,3,14112108
22,21,5,14113182
52,24,3,14113704
45,49,3,14114104
46,50,0,14114106
39,21,3,14114452
36,21,1,14114890
54,12,3,14115342
44,23,3,14116726
41,17,3,14116740
35,23,3,14116869
22,19,6,14117466
36,9,1,14117722
47,50,3,14118306
48,53,3,14118547
43,31,0,14118669
49,17,2,14118683
21,25,3,14118774
