x,y,feature,timestamp
4,35,5,21873465
2,26,5,22086883
3,25,5,22088855
2,26,6,22092956
3,25,6,22092988
59,34,5,22124861
60,33,5,22124893
16,24,5,22186943
16,23,6,22406263
23,44,7,22778594
53,42,6,23154355
62,21,5,23434608
7,13,3,23868987
2,24,7,23892522
12,13,2,23899376
46,42,6,26175885
47,41,6,26175917
47,41,5,26177353
48,40,5,26177385
47,36,3,26179041
46,35,3,26179073
48,37,0,26179390
47,36,0,26179422
49,41,0,26179744
48,40,0,26179776
48,37,3,26179911
49,41,3,26180139
48,40,3,26180171
48,40,6,26180762
48,47,0,26181828
49,38,0,26181923
49,39,5,26182306
47,52,0,26182431
46,51,0,26182463
48,41,5,26182495
49,40,5,26182527
50,42,0,26182577
48,41,6,26182629
49,40,6,26182661
48,53,3,26183042
47,52,3,26183074
46,51,3,26183106
50,42,3,26183138
49,38,3,26183697
49,39,6,26183970
50,39,0,26184805
50,39,5,26185113
48,53,0,26185177
51,43,0,26185209
49,54,3,26185317
49,55,0,26185584
50,39,3,26186322
50,38,5,26186386
49,54,0,26186867
15,48,4,26187145
50,56,0,26187488
48,54,0,26187520
50,55,3,26187741
50,49,7,26199395
16,52,0,26200175
15,51,6,26204814
16,50,6,26204846
60,13,5,26205581
62,11,5,26205613
16,43,6,26209717
38,26,3,26212228
22,58,5,26212475
23,57,5,26212507
35,25,7,26213219
51,47,3,26214617
18,41,6,26214783
27,33,6,26214964
61,12,5,26215272
36,34,6,26216726
37,33,6,26216758
21,38,6,26248953
22,37,6,26248985
22,37,5,26250271
23,36,5,26250303
59,14,6,26271211
57,16,6,26272278
58,15,6,26272310
59,15,1,26279385
60,14,1,26279417
61,21,5,31152321
62,15,0,31271982
20,56,5,31399634
21,55,5,31399666
17,55,5,31399698
18,54,5,31399730
17,55,6,31402543
18,54,6,31402575
20,56,6,31402708
21,55,6,31402740
59,51,7,31403545
22,54,5,31404722
19,53,5,31405325
18,49,7,31428755
17,48,7,31428787
23,52,6,31429535
24,51,6,31429567
18,49,4,31430569
17,48,4,31430601
14,49,6,31430633
15,48,6,31430665
23,50,5,31432773
15,48,5,31433373
16,47,5,31433405
16,47,6,31435733
21,48,5,31436877
2,59,5,31453791
3,58,5,31453823
19,44,7,31459805
18,43,7,31459837
2,59,6,31459963
3,58,6,31459995
4,57,5,31460887
4,57,6,31462997
5,56,5,31467915
15,42,5,31556032
16,41,5,31556064
15,44,5,31557421
16,43,5,31557453
15,42,6,31559651
16,41,6,31559683
17,40,5,31561550
17,40,6,31562446
57,16,5,32180185
22,40,1,32590108
23,39,1,32590140
23,39,4,32590346
22,38,4,32590378
23,43,1,32590410
24,42,1,32590442
24,45,1,32591728
25,44,1,32591760
21,40,2,32591792
22,39,2,32591824
23,44,1,32592056
24,43,1,32592088
23,45,2,32592120
24,44,2,32592152
21,39,2,32592653
22,38,2,32592685
22,42,1,32593091
23,41,1,32593123
22,44,2,32593334
23,43,2,32593366
21,41,2,32593451
22,40,2,32593483
19,47,1,32606431
20,46,1,32606463
18,48,2,32607696
19,47,2,32607728
18,42,1,32608193
16,43,2,32609056
17,42,2,32609088
20,51,1,32609319
21,50,1,32609351
16,43,1,32609558
17,42,1,32609590
19,52,2,32609671
20,51,2,32609703
16,46,2,32610047
17,45,2,32610079
16,44,1,32610111
17,43,1,32610143
16,45,2,32610175
17,44,2,32610207
18,49,1,32610239
19,48,1,32610271
18,50,2,32610303
19,49,2,32610335
17,47,1,32610367
18,46,1,32610399
17,48,2,32610431
18,47,2,32610463
15,41,2,32610577
16,40,2,32610609
16,45,1,32611113
17,44,1,32611145
16,46,1,32611195
17,45,1,32611227
19,52,1,32611609
21,54,2,32611809
22,53,2,32611841
15,44,2,32611873
15,47,2,32611905
17,50,2,32611937
18,49,2,32611969
17,50,1,32612050
17,46,1,32612137
16,48,2,32612169
17,47,2,32612201
15,44,1,32612345
21,54,1,32612377
22,53,1,32612409
23,25,4,32612556
19,51,1,32612712
18,53,2,32612906
18,53,1,32613235
16,48,1,32613313
14,45,2,32613474
18,54,1,32613625
19,53,1,32613657
16,51,2,32613847
20,55,2,32614042
15,47,1,32614074
14,45,1,32614613
15,49,2,32614645
20,55,1,32614677
18,55,2,32615141
19,54,2,32615173
17,54,2,32615255
18,55,1,32615725
19,54,1,32615757
19,56,2,32615899
15,49,1,32615931
16,51,1,32615963
17,53,1,32616583
18,52,1,32616615
17,41,7,32622314
16,40,7,32622346
18,42,4,32624427
17,41,4,32624459
16,40,4,32624491
43,25,3,32625424
16,35,5,32640811
17,34,5,32640843
16,35,6,32641034
17,34,6,32641066
18,33,5,32643104
16,38,6,32643565
17,37,6,32643597
17,37,5,32643638
18,36,5,32643670
18,33,6,32643956
43,31,2,32644296
44,30,2,32644328
19,32,5,32645853
19,32,6,32647154
43,27,2,32654982
47,51,4,32678367
46,50,4,32678399
56,47,0,34151438
58,49,3,34179100
57,48,3,34179132
59,50,0,34186357
58,49,0,34186389
57,48,0,34186421
59,50,1,34187153
59,52,2,34202349
62,51,0,34308851
61,53,0,34311355
60,52,0,34311387
61,52,3,34311419
60,51,3,34311451
6,38,2,34432455
20,38,1,37300330
21,37,1,37300362
20,43,2,37301524
21,42,2,37301556
21,44,1,37301588
22,43,1,37301620
23,49,1,37302918
24,48,1,37302950
20,45,2,37303303
21,44,2,37303335
22,50,2,37304327
23,49,2,37304359
20,45,1,37305235
21,49,2,37305428
22,48,2,37305460
21,49,1,37305559
22,48,1,37305591
23,51,2,37305623
24,50,2,37305655
22,50,1,37306225
22,49,2,37306257
19,46,2,37306454
21,37,4,37306520
20,36,4,37306552
23,51,1,37306656
24,50,1,37306688
22,51,1,37306720
23,50,1,37306752
20,44,1,37306959
27,28,6,37307028
28,27,6,37307060
21,51,2,37307687
20,50,2,37307719
22,52,2,37307966
19,46,1,37307998
19,44,2,37308030
21,51,1,37309042
21,52,2,37309074
22,51,2,37309106
18,47,2,37309284
22,52,1,37309434
21,52,1,37309633
20,50,1,37309947
21,53,2,37310585
20,49,1,37310686
19,51,2,37310718
19,49,2,37310750
20,53,2,37310847
21,53,1,37310941
18,47,1,37310973
19,51,1,37311462
20,54,2,37312031
19,54,2,37312105
21,54,1,37312137
22,53,1,37312169
18,51,1,37312508
19,50,1,37312540
19,60,5,37329969
20,59,5,37330001
19,59,5,37331150
20,58,5,37331182
18,61,6,37331214
19,60,6,37331246
20,59,6,37331278
21,58,5,37332540
23,59,4,37332572
14,45,6,37332970
45,54,2,37333277
21,61,5,37334408
22,60,5,37334440
15,44,6,37335696
16,43,6,37335728
15,44,5,37335888
21,57,5,37336276
22,56,5,37336308
40,28,3,37337315
39,27,3,37337347
38,26,3,37337379
15,43,6,37338322
16,42,5,37338502
39,37,6,37341487
40,36,6,37341519
41,35,6,37341551
42,34,6,37341583
32,61,0,37342958
41,29,0,37343389
40,28,0,37343421
39,27,0,37343453
16,42,6,37343612
17,41,6,37343644
41,29,3,37344210
62,51,2,38060799
3,34,2,38083837
5,33,1,38091581
3,35,1,38092660
4,34,1,38092692
57,62,6,38430279
58,61,6,38430311
56,63,6,38437428
59,60,6,38437460
60,60,3,38465374
59,59,3,38465406
61,61,0,38467014
60,60,0,38467046
61,61,3,38467634
51,61,6,38498709
52,60,6,38498741
2,41,5,40280571
3,40,5,40280603
18,58,7,40553402
17,57,7,40553434
19,58,4,40555009
18,57,4,40555041
22,56,5,40557147
23,55,5,40557179
17,59,4,40557328
16,58,4,40557360
18,58,4,40558245
17,57,4,40558277
17,58,7,40558309
16,57,7,40558341
18,57,7,40559450
17,56,7,40559482
17,58,4,40560082
16,57,4,40560114
2,23,6,40560526
15,56,5,40561004
16,55,5,40561036
22,55,7,40562130
21,54,7,40562162
15,56,6,40562464
16,55,6,40562496
22,51,4,40593559
21,50,4,40593591
17,52,5,40656251
18,51,5,40656283
58,17,5,41679334
9,15,1,41717572
23,43,1,41745778
24,42,1,41745810
24,46,1,41745920
25,45,1,41745952
22,44,2,41747779
23,43,2,41747811
23,46,1,41749418
24,45,1,41749450
23,47,2,41749482
24,46,2,41749514
22,44,1,41749912
22,46,2,41749973
23,45,2,41750005
23,47,1,41750415
20,52,2,41758013
21,51,2,41758045
40,44,0,41760055
48,53,0,41763759
47,52,0,41763791
48,55,3,41767833
47,54,3,41767865
49,56,0,41767971
48,55,0,41768003
27,4,6,41768610
28,3,6,41768642
5,56,4,41774302
4,55,7,41774438
22,56,2,41774984
18,60,1,41775108
19,59,1,41775140
14,48,3,41777280
13,47,3,41777312
12,46,3,41777344
19,55,3,41780812
20,59,6,41781296
21,58,6,41781328
18,40,6,41796491
19,39,6,41796523
39,33,7,41803270
40,36,0,42588088
41,38,3,42654801
51,59,0,42763072
50,58,0,42763104
52,60,0,42769054
51,59,3,42770306
50,58,3,42770338
53,61,0,42774826
49,57,0,42774858
50,59,3,42774890
49,58,3,42774922
48,57,3,42774954
52,60,3,42777365
49,57,3,42777397
50,59,0,42779722
49,58,0,42779754
50,60,0,42779956
52,59,3,42781664
51,58,3,42781696
50,57,3,42781728
55,60,3,42810964
54,59,3,42810996
53,55,3,42862663
53,56,0,42872986
52,55,0,42873018
50,58,3,42874388
49,57,3,42874420
55,59,3,42898486
54,58,3,42898518
56,59,3,42899103
55,58,3,42899135
57,60,0,42900181
56,59,0,42900213
56,60,0,42901014
55,59,0,42901046
59,58,3,42901555
58,57,3,42901587
60,58,3,42902102
59,57,3,42902134
56,60,3,42903539
57,60,3,42904399
61,59,0,42904558
60,58,0,42904590
60,59,0,42904776
59,58,0,42904808
20,58,6,44894835
21,57,6,44894867
21,57,5,44895417
22,56,5,44895449
21,58,6,44895481
22,57,6,44895513
19,57,6,44898226
20,56,6,44898258
22,57,5,44900311
23,56,5,44900343
22,56,6,44900375
20,56,5,44901713
21,55,5,44901745
23,55,5,44903396
21,55,6,44904162
21,52,5,44927430
22,51,5,44927462
23,52,7,44935450
22,51,7,44935482
21,41,2,46118437
21,47,2,46123510
22,47,1,46124211
48,54,3,46135209
47,53,3,46135241
49,55,0,46135551
48,54,0,46135583
49,55,3,46136481
50,56,0,46137769
18,61,1,46138075
19,60,1,46138107
50,57,0,46138837
49,56,0,46138869
50,56,3,46138901
17,62,2,46139925
18,61,2,46139957
43,31,1,46142780
23,30,7,46151845
31,29,7,46151910
16,58,5,46152536
44,30,4,46152568
24,30,4,46152860
23,30,3,46153184
22,29,3,46153216
41,33,0,46153479
33,26,7,46153687
32,25,7,46153719
34,27,4,46153864
33,26,4,46153896
11,29,2,46153951
15,60,6,46154458
16,59,6,46154490
17,58,6,46154522
51,29,5,46154597
52,3,6,46154768
53,2,6,46154800
16,35,4,46155051
36,27,5,46155142
18,59,7,46156184
19,55,1,46156216
46,32,4,46156529
45,31,4,46156561
24,31,3,46167203
26,31,0,46169156
25,30,0,46169188
24,29,0,46169220
24,31,0,46170098
23,30,0,46170130
27,31,0,46171441
26,30,0,46171473
25,29,0,46171505
41,32,2,46171593
42,31,2,46171625
26,30,3,46174795
25,29,3,46174827
22,32,1,46175523
22,29,0,46175726
39,29,2,46178662
26,31,4,46178902
25,30,4,46178934
24,29,4,46178966
21,53,7,46178998
38,30,2,46179776
33,30,6,46181024
34,29,6,46181056
49,30,3,46181890
31,28,2,46182526
38,30,4,46183520
23,31,2,46187282
24,30,2,46187314
23,31,1,46188134
24,30,1,46188166
7,28,4,46218447
12,36,6,49778392
4,62,6,49863510
13,59,5,49864734
14,58,5,49864766
15,60,5,49864798
16,59,5,49864830
14,60,6,49865051
15,59,6,49865083
14,59,5,49866687
15,58,5,49866719
13,59,6,49867198
14,58,6,49867230
15,60,6,49867598
16,59,6,49867630
18,61,5,49868210
19,60,5,49868242
15,59,5,49868335
16,58,5,49868367
14,59,6,49868399
15,58,6,49868431
15,57,5,49869086
17,58,5,49869971
16,57,5,49870892
16,58,6,49870924
19,61,5,49870956
20,60,5,49870988
18,61,6,49871020
19,60,6,49871052
2,60,5,49871158
3,59,5,49871190
2,60,6,49872220
15,57,6,49872279
17,59,5,49872658
17,58,6,49872690
17,57,5,49872785
19,61,6,49873470
20,60,6,49873502
16,57,6,49873628
4,58,5,49873699
13,57,6,49873756
14,56,6,49873788
20,59,5,49873924
16,56,5,49874045
18,59,5,49874183
19,58,5,49874215
20,61,5,49874468
21,60,5,49874500
1,59,6,49874983
14,57,6,49875114
15,56,6,49875146
5,54,6,49887427
4,55,6,49890483
6,53,6,49890515
17,53,5,49893291
18,52,5,49893323
16,53,6,49893501
17,52,6,49893533
7,62,6,49893644
8,61,6,49893676
7,61,5,49894009
8,60,5,49894041
13,51,5,49894129
14,50,5,49894161
19,54,5,49894908
20,53,5,49894940
18,54,6,49894972
19,53,6,49895004
7,62,5,49895115
8,61,5,49895147
9,60,5,49895179
18,53,5,49895351
19,52,5,49895383
7,61,6,49895682
8,60,6,49895714
6,62,5,49896229
9,59,5,49896261
17,53,6,49896293
18,52,6,49896325
13,51,6,49896904
14,50,6,49896936
17,52,5,49897259
18,51,5,49897291
6,60,5,49897323
7,59,5,49897355
5,61,6,49897601
6,60,6,49897633
7,59,6,49897665
7,60,5,49898097
19,54,6,49898129
20,53,6,49898161
8,58,5,49898338
7,60,6,49898370
8,59,6,49898402
6,62,6,49898709
9,59,6,49898741
9,60,6,49898773
19,53,5,49899125
20,52,5,49899157
16,51,5,49899242
19,51,5,49899296
18,53,6,49899328
19,52,6,49899360
5,61,5,49899720
9,57,5,49899752
6,61,6,49899784
9,58,6,49899816
15,49,5,49899848
8,60,5,49900042
10,58,5,49900074
8,59,5,49900106
9,58,5,49900138
8,58,6,49900170
18,51,6,49900202
21,52,5,49900515
20,52,6,49901096
20,51,5,49901539
15,49,6,49901571
10,57,5,49901603
8,60,6,49901635
10,58,6,49901667
9,57,6,49901699
10,59,6,49901731
19,51,6,49902509
5,52,6,49902904
6,51,6,49902936
19,50,5,49903132
11,56,5,49903323
7,61,5,49903496
9,59,5,49903528
11,57,5,49903560
8,59,6,49903592
10,57,6,49903624
7,59,5,49903656
8,58,5,49903688
10,56,5,49903720
21,54,6,49903822
22,53,6,49903854
17,51,6,49904363
18,50,6,49904395
17,50,5,49904526
18,49,5,49904558
16,50,6,49904590
17,49,6,49904622
7,59,6,49904807
21,52,6,49904887
9,58,5,49905327
7,61,6,49905359
9,59,6,49905391
11,57,6,49905423
11,56,6,49905455
16,48,5,49905487
6,51,5,49905536
7,50,5,49905568
